id;time;lang;place
1546;13,1;ambig;
1547;13,1;21;
1548;14,1;11;
1549;13,2;22;
1550;13,2;12;
1551;13,2;21;
1552;13,2;ambig;
1553;13,1;12;
1554;13,2;ambig;
1555;13,2;10;
1556;13,1;21;
1557;13,1;22;
1558;13,1;21;
1559;14,1;10;
1560;13,2;nicht feststellbar;
1561;14,1;20;
1562;16,1;;
1563;13,2;20;
1564;13,1;10;
1565;13,2;südl. Md.;
1566;13,2;12;
1567;14,1;12;
1568;13,1;10;
1569;13,1;10;
1570;13,2;südl. Md.;
1571;13,2;12;
1572;13,1;11;
1573;13,2;12;
1574;13,1;12;
1577;13,1;21;
1578;13,2;20;
1579;13,2;12;
1580;13,1;20;
1581;14,1;11;Benediktbeuern
1582;13,2;31;
1583;14,1;20;
1584;14,1;11;
1585;14,1;11;
1586;13,2;nordalem. fränk. Grenzraum;
1587;14,1;30;
1588;13,1;11;
1589;13,2;31;Rostock
1590;14,1;ambig;
1591;14,1;ambig;
1592;13,1;11;
1593;13,1;11;
1594;14,1;21;
1595;13,2;22;
1596;14,1;11;
1597;13,2;12;
1598;13,1;11;
1599;13,2;22;
1600;14,1;22;Görlitz
1601;13,2;21;Köln
1602;13,1;10;
1603;14,1;20;
1604;13,2;11;
1605;13,2;31;
1607;13,2;ambig;
1608;13,1;ambig;
1609;13,2;31;Dortmund
1610;14,1;31;Halberstadt
1611;14,1;10;
1612;13,1;11;
1613;13,2;31;
1614;13,1;22;Erfurt
1615;13,1;20;
1616;13,2;20;
1617;13,2;10;
1618;13,2;10;
1619;13,2;20;
1620;13,2;20;
1621;13,2;20;
1622;14,1;20;
1623;13,2;10;
1624;14,1;12;
1625;13,2;ambig;
1626;13,2;ambig;
1627;13,2;ambig;
1628;13,1;11;
1629;13,2;12;
1630;13,2;11;
1631;13,1;10;
1632;13,1;10;
1633;13,2;ambig;
1634;13,2;30;
1635;13,1;11;
1636;13,1;20;
1637;13,2;ambig;Magdeburg
1638;14,2;nicht feststellbar;
1639;13,2;11;
1640;13,2;30;
1641;13,2;11;
1642;12,2;11;Chorfrauenstift Seckau Seckau
1643;13,2;11;
1644;13,2;12;
1645;14,1;21;
1646;13,2;ambig;
1647;13,1;10;
1648;13,1;ambig;
1649;14,1;22;
1650;14,1;21;
1651;13,1;11;
1652;13,2;12;Kloster Weißenau
1653;13,1;11;
1654;13,1;11;
1655;13,2;12;
1656;13,1;10;
1657;14,1;12;
1658;13,1;10;
1659;13,2;11;
1660;13,2;20;
1661;13,1;11;
1662;13,2;11;
1663;13,2;11;
1664;14,1;11;
1665;13,1;11;
1666;13,2;11;
1667;13,1;12;
1668;14,1;10;
1669;13,1;ambig;
1670;13,2;31;Hamburg
1671;13,1;11;scriptorium of the Prince-Bishop of Brixen
1672;13,2;22;
1673;13,2;ambig;
1674;13,2;10;
1675;13,1;11;
1676;13,1;ambig;
1677;14,1;11;
1678;13,2;11;
1679;13,2;11;
1680;13,1;10;
1681;14,1;11;
1682;14,1;12;Schaffhausen
1683;13,2;11;
1684;14,1;11;
1685;14,1;11;
1686;12,2;11;Chorfrauenstift Seckau Seckau
1687;13,2;22;
1688;14,1;11;
1689;13,1;11;
1690;13,2;11;
1691;13,1;30;
1692;15,1;südl. Niederalem.;
1693;15,2;12;
1694;13,2;12;
1695;13,1;10;
1696;13,2;10;
1697;13,2;unbekannt;
1698;12. / Jh. ;11;
1699;13,2;12;
1700;14,1;21;
1701;13,2;ambig;
1702;12,2;ambig;
1703;14,1;11;
1704;14,1;11;
1705;13,2;Raum Würzburg;
1706;13,2;21;
1707;14,1;20;
1708;14,1;ambig;
1709;14,2;11;
1710;14,1;ambig;
1711;14,2;rheinhess.;
1712;14,1;11;
1713;14,1;12;
1714;14,1;12;
1715;14,1;11;
1716;14,1;21;
1717;14,1;12;
1718;14,1;13;
1719;14,2;ambig;
1720;14,2;nicht feststellbar;
1721;14,1;11;
1722;14,2;11;
1723;14,1;11;
1724;14,2;21;
1725;14,2;11;
1726;14,2;11;
1727;14,1;21;
1728;14,1;ambig;
1729;14,2;20;
1730;14,1;20;
1731;14,1;westl. Hochalem.;
1732;14,1;12;
1733;14,1;nordböhm.;
1734;13,2;11;
1735;14,2;11;
1736;14,1;20;
1737;15,2;10;
1738;14,1;20;
1739;14,1;11;
1740;14,2;11;
1741;14,1;12;
1742;14,2;20;
1743;14,2;10;
1744;15,1;11;
1745;14,2;21;
1746;14,1;21;Frankfurt
1747;14,2;13;
1748;14,2;22;
1749;14,1;11;
1750;14,2;12;
1751;14,2;20;
1752;13,2;11;
1753;14,2;22;
1754;14,2;20;
1755;14,2;21;
1756;13,2;12;
1757;15,1;13;
1758;14,1;ambig;
1759;14,2;20;
1760;14,1;11;
1761;14,1;20;
1762;14,1;11;
1763;14,2;11;
1764;4. Viertel 14. Jahrhundert ;11;
1765;14,1;30;
1766;14,2;ambig;
1767;14,2;ambig;
1768;14,2;11;
1769;14,2;11;
1770;14,2;30;
1771;15,1;11;
1772;14,1;10;
1773;14,1;20;
1774;14,2;nördl. Ostschwäb.;
1775;14,1;10;
1776;14,1;ambig;
1777;14,1;31;
1778;14,1;21;
1779;14,1;böhm.;
1780;14,1;11;
1781;14,2;12;
1782;14,1;12;
1783;14,1;11;
1784;14,1;11;
1785;14,2;11;
1786;14,1;11;
1787;14,2;10;
1788;14,1;ambig;
1789;14,1;20;
1790;14,2;20;
1791;14,1;ambig;
1792;14,1;31;
1793;14,1;20;
1794;14,1;11;
1795;14,2;12;
1796;14,2;30;
1797;14,2;13;
1798;14,1;12;
1799;14,1;ambig;
1800;14,1;11;
1801;14,1;22;
1802;14,2;31;
1803;14,1;20;
1804;14,1;21;
1805;14,1;20;
1806;14,1;13;
1807;14,1;22;
1808;14,1;20;
1809;14,1;12;Feldkirch/Elsaß
1810;14,1;22;
1811;14,1;22;
1812;14,2;30;
1813;14,2;ambig;
1814;14,2;11;
1815;14,1;21;
1816;14,1;20;
1817;14,1;21;
1818;14,2;31;
1819;14,1;nordostbair.;
1820;14,1;12;
1821;14,2;21;
1822;14,1;11;
1823;14,2;11;
1824;14,2;ambig;
1825;14,2;11;
1826;14,2;22;
1827;14,2;20;
1828;14,1;els.;
1829;14,1;11;
1830;14,1;11;
1831;14,2;22;
1833;14,2;20;
1834;14,1;12;
1835;14,2;10;
1836;14,2;10;
1837;14,1;ambig;
1838;14,2;11;
1839;14,1;21;
1840;14,2;nordwestalem.;
1841;14,1;ambig;
1842;14,1;12;
1843;14,2;ambig;
1844;14,1;20;
1845;14,1;11;
1846;14,1;böhm.;
1847;14,1;22;
1848;14,1;12;
1849;14,1;12;
1850;14,2;12;
1851;14,1;12;
1852;14,1;21;
1853;14,1;12;vermutl. im Zürcher Dominikanerinnenkloster Oetenbach geschrieben
1854;14,1;12;
1855;14,2;11;
1856;14,2;11;
1857;14,1;12;
1858;14,1;21;
1859;14,2;ambig;
1860;15,2;11;
1861;14,1;ambig;
1862;14,2;10;
1863;14,1;21;
1864;14,2;30;
1865;14,1;12;
1866;14,1;22;
1867;14,1;ambig;
1868;14,1;21;
1869;14,1;22;
1870;14,2;20;
1872;14,1;ambig;
1873;14,1;11;
1874;14,2;21;
1875;14,1;13;
1876;14,1;10;
1877;14,1;11;
1878;14,1;südl. Md.;
1879;14,2;20;
1881;14,2;21;
1882;14,2;11;
1883;14,1;13;
1884;14,2;10;
1885;14,1;11;
1886;14,2;?;
1887;14,2;11;
1888;14,2;11;
1889;14,2;12;
1891;14,1;31;
1892;14,1;12;
1893;14,2;22;
1894;14,1;20;
1895;14,1;10;
1897;14,2;20;
1898;14,2;30;
1899;14,1;30;
1900;14,2;30;
1901;14,2;10;
1902;14,2;22;
1903;14,1;nordostbair.;
1904;15,2;30;Zisterzienserinnenkloster Medingen bei Bevensen
1905;14,2;22;
1906;14,2;21;
1907;14,2;21;
1908;15,1;12;
1909;14,1;12;
1910;13,2;ambig;
1911;14,1;10;
1912;14,2;21;
1913;14,2;20;
1914;14,1;10;
1915;14,2;20;
1916;14,2;ambig;
1917;14,1;22;
1918;14,2;20;
1919;14,2;22;
1920;14,1;20;
1921;15,1;13;
1922;14,1;12;
1923;12,2;11;Chorfrauenstift Seckau Seckau
1924;14,2;20;
1925;13,1;21;
1926;14,1;22;
1927;15,2;11;
1928;14,2;11;
1929;14,1;11;
1930;14,2;11;
1931;14,1;20;
1932;14,2;20;
1933;14,2;22;
1934;14,2;ambig;
1935;14,2;12;
1936;14,1;22;
1937;14,2;10;
1938;14,2;22;
1939;14,1;11;
1940;14,2;22;
1941;14,2;10;
1942;13,2;10;
1943;14,1;20;
1944;15,1;20;
1945;14,1;ambig;
1946;14,1;12;
1947;14,1;21;
1948;14,2;11;
1949;14,2;20;
1950;14,1;20;
1951;14,1;10;
1952;14,1;20;
1953;14,1;22;
1954;14,2;22;
1955;14,1;böhm.;
1956;14,1;böhm.;
1957;14,2;30;
1958;15,2;10;
1959;15,1;22;
1960;14,1;20;
1961;14,2;21;
1962;14,1;21;
1963;14,1;oberhess.;
1964;14,2;21;
1965;14,1;10;
1966;14,1;10;
1967;14,1;11;
1968;14,1;20;
1969;14,1;20;
1970;14,1;12;
1971;14,1;21;
1972;14,1;22;
1973;14,2;20;
1974;14,2;oberhess.;
1975;14,1;20;
1976;14,1;20;
1977;14,1;20;
1978;14,1;21;
1979;14,2;21;
1980;14,2;12;
1981;14,1;20;
1982;14,2;12;
1983;14,2;11;
1984;14,2;10;
1985;14,1;21;
1986;14,1;10;
1987;14,2;10;
1988;14,2;11;
1989;14,2;11;
1990;14,2;12;
1991;14,2;11;
1994;13,2;21;
